Non-English Language (Language isolation) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 14+, 2018-2022"
Sorted by Value

County,FIPS,Value (Percent),Households (language Isolation),Rank within US (of 3142 counties)
"California",06000,8.4,1115589,"51 of 51"
"United States",00000,4.2,5280039,"N/A"
"Imperial County",06025,24.6,11571,"3,134"
"Tulare County",06107,14.1,19801,"3,114"
"Kings County",06031,13.0,5667,"3,105"
"Merced County",06047,12.2,10088,"3,093"
"Los Angeles County",06037,12.0,404852,"3,090"
"San Francisco County",06075,10.9,39434,"3,082"
"Monterey County",06053,10.5,13756,"3,078"
"Santa Clara County",06085,10.2,66226,"3,074"
"Fresno County",06019,9.7,30852,"3,068"
"Madera County",06039,9.6,4232,"3,066"
"Colusa County",06011,9.4,695,"3,063"
"Kern County",06029,8.9,24706,"3,054"
"San Joaquin County",06077,8.1,19348,"3,038"
"Orange County",06059,8.0,85067,"3,034"
"Alameda County",06001,8.0,46709,"3,032"
"San Mateo County",06081,7.6,20177,"3,013"
"San Benito County",06069,7.5,1495,"3,010"
"Stanislaus County",06099,7.3,12793,"3,002"
"Riverside County",06065,7.2,53837,"2,996"
"Santa Barbara County",06083,6.7,9939,"2,984"
"Sutter County",06101,6.6,2177,"2,980"
"San Bernardino County",06071,6.2,41203,"2,968"
"Sacramento County",06067,6.2,34745,"2,964"
"San Diego County",06073,6.0,69218,"2,960"
"Yolo County",06113,6.0,4546,"2,957"
"Contra Costa County",06013,6.0,24363,"2,956"
"Glenn County",06021,5.9,578,"2,955"
"Ventura County",06111,5.9,16147,"2,948"
"Napa County",06055,5.3,2598,"2,916"
"Solano County",06095,5.0,7775,"2,899"
"Santa Cruz County",06087,4.6,4462,"2,869"
"Sonoma County",06097,4.2,7921,"2,831"
"Marin County",06041,3.9,3993,"2,806"
"Mono County",06051,3.7,201,"2,785"
"Yuba County",06115,3.3,921,"2,742"
"Butte County",06007,2.2,1859,"2,469"
"Lassen County",06035,2.2,199,"2,467"
"Lake County",06033,2.2,589,"2,465"
"Mendocino County",06045,2.2,751,"2,446"
"Modoc County",06049,2.1,73,"2,439"
"San Luis Obispo County",06079,2.1,2274,"2,424"
"Tehama County",06103,2.1,508,"2,415"
"Placer County",06061,2.0,3050,"2,394"
"Humboldt County",06023,1.6,876,"2,218"
"Amador County",06005,1.5,242,"2,171"
"Del Norte County",06015,1.5,140,"2,128"
"El Dorado County",06017,1.4,1054,"2,081"
"Mariposa County",06043,1.3,98,"2,002"
"Siskiyou County",06093,1.3,237,"1,983"
"Trinity County",06105,1.3,69,"1,981"
"Plumas County",06063,1.1,93,"1,910"
"Shasta County",06089,1.0,737,"1,813"
"Nevada County",06057,1.0,413,"1,779"
"Inyo County",06027,0.9,68,"1,652"
"Alpine County",06003,0.5,2,"1,111"
"Tuolumne County",06109,0.4,100,"1,078"
"Calaveras County",06009,0.4,64,"975"
"Sierra County",06091,0.0,0,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 11/11/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language (Language isolation), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#non-english-language-language-isolation."
